DataID,RefID,Reviewer,Salt_Iontype_Conductivity,Measurement,Units_salt_concentration_original,SaltUnits,Minimum_concentration_original,Maximum_concentration_original,Rate of change in salt (if applicaple),Temperature,TempSingleValue/Min,TempMax,TempPlusMinus,MeasurementNotes,TempNotes,Minimum_concentration_original_num,Maximum_concentration_original_num,Min_Conductivity_uScm,Max_Conductivity_uScm,Min_Concentration_ppm,Max_Concentration_ppm,Min_salinity_psu,Max_salinity_psu,Min_salinity_ppm,Max_salinity_ppm
1257,167,Joshua,Salinity (commercial salt),Salinity,ppt,ppt,0,25,NA,28 ± 1,28,NA,1,Salinity (commercial salt),NA,0,25,0,38293.65354534832,NA,NA,0,25,0,25000
1258,167,Joshua,Salinity (commercial salt),Salinity,ppt,ppt,0,25,NA,28 ± 1,28,NA,1,Salinity (commercial salt),NA,0,25,0,38293.65354534832,NA,NA,0,25,0,25000
1259,167,Joshua,Salinity (commercial salt),Salinity,ppt,ppt,0,25,NA,28 ± 1,28,NA,1,Salinity (commercial salt),NA,0,25,0,38293.65354534832,NA,NA,0,25,0,25000
1260,167,Joshua,Salinity (commercial salt),Salinity,ppt,ppt,0,25,NA,28 ± 1,28,NA,1,Salinity (commercial salt),NA,0,25,0,38293.65354534832,NA,NA,0,25,0,25000
1261,167,Joshua,Salinity (commercial salt),Salinity,ppt,ppt,0,25,NA,28 ± 1,28,NA,1,Salinity (commercial salt),NA,0,25,0,38293.65354534832,NA,NA,0,25,0,25000
1262,167,Joshua,Salinity (commercial salt),Salinity,ppt,ppt,0,25,NA,28 ± 1,28,NA,1,Salinity (commercial salt),NA,0,25,0,38293.65354534832,NA,NA,0,25,0,25000
1263,167,Joshua,Salinity (commercial salt),Salinity,ppt,ppt,0,25,NA,28 ± 1,28,NA,1,Salinity (commercial salt),NA,0,25,0,38293.65354534832,NA,NA,0,25,0,25000
1264,167,Joshua,Salinity (commercial salt),Salinity,ppt,ppt,0,32,NA,28 ± 1,28,NA,1,Salinity (commercial salt),NA,0,32,0,49015.87653804586,NA,NA,0,32,0,32000
1265,167,Joshua,Salinity (commercial salt),Salinity,ppt,ppt,0,32,NA,28 ± 1,28,NA,1,Salinity (commercial salt),NA,0,32,0,49015.87653804586,NA,NA,0,32,0,32000
1266,167,Joshua,Salinity (commercial salt),Salinity,ppt,ppt,0,25,NA,28 ± 1,28,NA,1,Salinity (commercial salt),NA,0,25,0,38293.65354534832,NA,NA,0,25,0,25000
1267,167,Joshua,Salinity (commercial salt),Salinity,ppt,ppt,0,25,NA,28 ± 1,28,NA,1,Salinity (commercial salt),NA,0,25,0,38293.65354534832,NA,NA,0,25,0,25000
1268,167,Joshua,Salinity (commercial salt),Salinity,ppt,ppt,0,25,NA,28 ± 1,28,NA,1,Salinity (commercial salt),NA,0,25,0,38293.65354534832,NA,NA,0,25,0,25000
1269,167,Joshua,Salinity (commercial salt),Salinity,ppt,ppt,0,25,NA,28 ± 1,28,NA,1,Salinity (commercial salt),NA,0,25,0,38293.65354534832,NA,NA,0,25,0,25000
1270,168,Joshua,NaCl,NaCl,%,%,0,0.7,NA,9,9,NA,NA,NA,NA,0,0.7,NA,NA,0,7000,NA,NA,NA,NA
1271,168,Joshua,NaCl,NaCl,%,%,0,0.7,NA,9,9,NA,NA,NA,NA,0,0.7,NA,NA,0,7000,NA,NA,NA,NA
1272,169,Joshua,NaCl,NaCl,mg/l,mg/L,0,3000,NA,25,25,NA,NA,NA,NA,0,3000,NA,NA,0,3000,NA,NA,NA,NA
1273,169,Joshua,NaCl,NaCl,mg/l,mg/L,0,3000,NA,25,25,NA,NA,NA,NA,0,3000,NA,NA,0,3000,NA,NA,NA,NA
1274,169,Joshua,NaCl,NaCl,mg/l,mg/L,0,3000,NA,25,25,NA,NA,NA,NA,0,3000,NA,NA,0,3000,NA,NA,NA,NA
1275,170,Jo,Salinity,Salinity,ppt,ppt,0,15,NA,27-28,27,28,NA,NA,NA,0,15,0,22976.192127208997,NA,NA,0,15,0,15000
1276,170,Jo,Salinity,Salinity,ppt,ppt,0,15,NA,27-29,27,29,NA,NA,NA,0,15,0,22976.192127208997,NA,NA,0,15,0,15000
1277,170,Jo,Salinity,Salinity,ppt,ppt,0,15,NA,27-29,27,29,NA,NA,NA,0,15,0,22976.192127208997,NA,NA,0,15,0,15000
1278,170,Jo,Salinity,Salinity,ppt,ppt,0,15,NA,27-29,27,29,NA,NA,NA,0,15,0,22976.192127208997,NA,NA,0,15,0,15000
1279,171,Lucy,Specific Conductance,Specific Conductance,mmhos/cm,mmhos/cm,0.134,0.383,NA,NA,NA,NA,NA,NA,NA,0.134,0.383,134,383,NA,NA,NA,NA,NA,NA
1280,172,Rich,salinity,Salinity,g/L,g/L,0.3,15,NA,NA,NA,NA,NA,NA,NA,0.3,15,459.5238425441799,22976.192127208997,NA,NA,0.3,15,300,15000
1281,172,Rich,salinity,Salinity,g/L,g/L,0.3,15,NA,NA,NA,NA,NA,NA,NA,0.3,15,459.5238425441799,22976.192127208997,NA,NA,0.3,15,300,15000
1282,173,Rich,Calcium,Ca2+,uM,µmol/L,100,10000,NA,25,25,NA,NA,NA,NA,100,10000,NA,NA,4.008,400.79999999999995,NA,NA,NA,NA
1283,173,Rich,Calcium,Ca2+,uM,µmol/L,100,10000,NA,25,25,NA,NA,NA,NA,100,10000,NA,NA,4.008,400.79999999999995,NA,NA,NA,NA
1284,173,Rich,Calcium,Ca2+,uM,µmol/L,100,10000,NA,25,25,NA,NA,NA,NA,100,10000,NA,NA,4.008,400.79999999999995,NA,NA,NA,NA
1285,173,Rich,Calcium,Ca2+,uM,µmol/L,100,10000,NA,25,25,NA,NA,NA,NA,100,10000,NA,NA,4.008,400.79999999999995,NA,NA,NA,NA
1286,173,Rich,Calcium,Ca2+,uM,µmol/L,100,10000,NA,25,25,NA,NA,NA,NA,100,10000,NA,NA,4.008,400.79999999999995,NA,NA,NA,NA
1287,173,Rich,Calcium,Ca2+,uM,µmol/L,100,10000,NA,25,25,NA,NA,NA,NA,100,10000,NA,NA,4.008,400.79999999999995,NA,NA,NA,NA
1288,173,Rich,Calcium,Ca2+,uM,µmol/L,100,10000,NA,25,25,NA,NA,NA,NA,100,10000,NA,NA,4.008,400.79999999999995,NA,NA,NA,NA
1289,173,Rich,Calcium,Ca2+,uM,µmol/L,100,10000,NA,25,25,NA,NA,NA,NA,100,10000,NA,NA,4.008,400.79999999999995,NA,NA,NA,NA
1290,173,Rich,Calcium,Ca2+,uM,µmol/L,100,10000,NA,25,25,NA,NA,NA,NA,100,10000,NA,NA,4.008,400.79999999999995,NA,NA,NA,NA
1291,173,Rich,Calcium,Ca2+,uM,µmol/L,100,10000,NA,25,25,NA,NA,NA,NA,100,10000,NA,NA,4.008,400.79999999999995,NA,NA,NA,NA
1292,173,Rich,Calcium,Ca2+,uM,µmol/L,100,10000,NA,25,25,NA,NA,NA,NA,100,10000,NA,NA,4.008,400.79999999999995,NA,NA,NA,NA
1293,173,Rich,Calcium,Ca2+,uM,µmol/L,100,10000,NA,25,25,NA,NA,NA,NA,100,10000,NA,NA,4.008,400.79999999999995,NA,NA,NA,NA
1294,173,Rich,Calcium,Ca2+,uM,µmol/L,100,10000,NA,25,25,NA,NA,NA,NA,100,10000,NA,NA,4.008,400.79999999999995,NA,NA,NA,NA
1295,173,Rich,Calcium,Ca2+,uM,µmol/L,100,10000,NA,25,25,NA,NA,NA,NA,100,10000,NA,NA,4.008,400.79999999999995,NA,NA,NA,NA
1296,173,Rich,Calcium,Ca2+,uM,µmol/L,100,10000,NA,25,25,NA,NA,NA,NA,100,10000,NA,NA,4.008,400.79999999999995,NA,NA,NA,NA
1297,173,Rich,Calcium,Ca2+,uM,µmol/L,100,10000,NA,25,25,NA,NA,NA,NA,100,10000,NA,NA,4.008,400.79999999999995,NA,NA,NA,NA
1298,173,Rich,Calcium,Ca2+,uM,µmol/L,100,10000,NA,25,25,NA,NA,NA,NA,100,10000,NA,NA,4.008,400.79999999999995,NA,NA,NA,NA
1299,173,Rich,Calcium,Ca2+,uM,µmol/L,100,10000,NA,25,25,NA,NA,NA,NA,100,10000,NA,NA,4.008,400.79999999999995,NA,NA,NA,NA
1300,174,Sally,Specific Conductance,Specific Conductance,uS/cm,µS/cm,230,5521,NA,NA,NA,NA,NA,NA,NA,230,5521,230,5521,NA,NA,NA,NA,NA,NA
1301,174,Sally,Specific Conductance,Specific Conductance,uS/cm,µS/cm,230,5521,NA,NA,NA,NA,NA,NA,NA,230,5521,230,5521,NA,NA,NA,NA,NA,NA
1302,174,Sally,Specific Conductance,Specific Conductance,uS/cm,µS/cm,230,5521,NA,NA,NA,NA,NA,NA,NA,230,5521,230,5521,NA,NA,NA,NA,NA,NA
1303,175,Sally,Specific Conductance,Specific Conductance,mS/m,mS/m,28.1,488,NA,NA,NA,NA,NA,NA,NA,28.1,488,281,4880,NA,NA,NA,NA,NA,NA
1304,175,Sally,Specific Conductance,Specific Conductance,mS/m,mS/m,28.1,488,NA,NA,NA,NA,NA,NA,NA,28.1,488,281,4880,NA,NA,NA,NA,NA,NA
1305,175,Sally,Specific Conductance,Specific Conductance,mS/m,mS/m,28.1,488,NA,NA,NA,NA,NA,NA,NA,28.1,488,281,4880,NA,NA,NA,NA,NA,NA
1306,175,Sally,Specific Conductance,Specific Conductance,mS/m,mS/m,28.1,488,NA,NA,NA,NA,NA,NA,NA,28.1,488,281,4880,NA,NA,NA,NA,NA,NA
1307,175,Sally,Specific Conductance,Specific Conductance,mS/m,mS/m,28.1,488,NA,NA,NA,NA,NA,NA,NA,28.1,488,281,4880,NA,NA,NA,NA,NA,NA
1308,176,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,22,29,NA,23.56,23.56,NA,NA,NA,NA,22,29,22,29,NA,NA,NA,NA,NA,NA
1309,176,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,22,29,NA,23.56,23.56,NA,NA,NA,NA,22,29,22,29,NA,NA,NA,NA,NA,NA
1310,176,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,22,29,NA,23.56,23.56,NA,NA,NA,NA,22,29,22,29,NA,NA,NA,NA,NA,NA
1311,176,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,22,29,NA,23.56,23.56,NA,NA,NA,NA,22,29,22,29,NA,NA,NA,NA,NA,NA
1312,176,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,22,29,NA,23.56,23.56,NA,NA,NA,NA,22,29,22,29,NA,NA,NA,NA,NA,NA
1313,177,Lucy,Specific Conductance,Specific Conductance,uS/cm,µS/cm,123,784,NA,NA,NA,NA,NA,NA,NA,123,784,123,784,NA,NA,NA,NA,NA,NA
1314,177,Lucy,Specific Conductance,Specific Conductance,uS/cm,µS/cm,123,784,NA,NA,NA,NA,NA,NA,NA,123,784,123,784,NA,NA,NA,NA,NA,NA
1315,178,Carl,Specific Conductance,Specific Conductance,uS/cm,µS/cm,357,431,NA,16.9-21,16.9,21,NA,NA,NA,357,431,357,431,NA,NA,NA,NA,NA,NA
1316,178,Carl,Specific Conductance,Specific Conductance,uS/cm,µS/cm,357,431,NA,16.9-21,16.9,21,NA,NA,NA,357,431,357,431,NA,NA,NA,NA,NA,NA
1317,178,Carl,Specific Conductance,Specific Conductance,uS/cm,µS/cm,357,431,NA,16.9-21,16.9,21,NA,NA,NA,357,431,357,431,NA,NA,NA,NA,NA,NA
1318,178,Carl,Specific Conductance,Specific Conductance,uS/cm,µS/cm,357,431,NA,16.9-21,16.9,21,NA,NA,NA,357,431,357,431,NA,NA,NA,NA,NA,NA
1319,178,Carl,Specific Conductance,Specific Conductance,uS/cm,µS/cm,357,431,NA,16.9-21,16.9,21,NA,NA,NA,357,431,357,431,NA,NA,NA,NA,NA,NA
1320,178,Carl,Specific Conductance,Specific Conductance,uS/cm,µS/cm,357,431,NA,16.9-21,16.9,21,NA,NA,NA,357,431,357,431,NA,NA,NA,NA,NA,NA
1321,178,Carl,Specific Conductance,Specific Conductance,uS/cm,µS/cm,357,431,NA,16.9-21,16.9,21,NA,NA,NA,357,431,357,431,NA,NA,NA,NA,NA,NA
1322,178,Carl,Specific Conductance,Specific Conductance,uS/cm,µS/cm,357,431,NA,16.9-21,16.9,21,NA,NA,NA,357,431,357,431,NA,NA,NA,NA,NA,NA
1323,178,Carl,Specific Conductance,Specific Conductance,uS/cm,µS/cm,357,431,NA,16.9-21,16.9,21,NA,NA,NA,357,431,357,431,NA,NA,NA,NA,NA,NA
1324,178,Carl,Specific Conductance,Specific Conductance,uS/cm,µS/cm,357,1071,NA,16.9-21,16.9,21,NA,NA,NA,357,1071,357,1071,NA,NA,NA,NA,NA,NA
1325,179,Carl,"Specific Conductance (Focal Salt: Na, K, HCO3 are dominant)",Specific Conductance,uS/cm,µS/cm,108,246,NA,16-32,16,32,NA,"Focal Salt: Na, K, HCO3 are dominant+",ambient range,108,246,108,246,NA,NA,NA,NA,NA,NA
1326,179,Carl,"Specific Conductance (Focal Salt: Na, K, HCO3 are dominant)",Specific Conductance,uS/cm,µS/cm,108,246,NA,16-32,16,32,NA,"Focal Salt: Na, K, HCO3 are dominant+",ambient range,108,246,108,246,NA,NA,NA,NA,NA,NA
1327,180,Carl,NaCl,NaCl,mg Cl- / L,mg/L,2.8,10,NA,21,21,NA,NA,NA,NA,2.8,10,NA,NA,2.8,10,NA,NA,NA,NA
1328,180,Carl,NaCl,NaCl,mg Cl- / L,mg/L,2.8,10,NA,21,21,NA,NA,NA,NA,2.8,10,NA,NA,2.8,10,NA,NA,NA,NA
1329,180,Carl,NaCl,NaCl,mg Cl- / L,mg/L,2.8,10,NA,21,21,NA,NA,NA,NA,2.8,10,NA,NA,2.8,10,NA,NA,NA,NA
1330,180,Carl,NaCl,NaCl,mg Cl- / L,mg/L,2.8,10,NA,21,21,NA,NA,NA,NA,2.8,10,NA,NA,2.8,10,NA,NA,NA,NA
1331,180,Carl,NaCl,NaCl,mg Cl- / L,mg/L,2.8,10,NA,21,21,NA,NA,NA,NA,2.8,10,NA,NA,2.8,10,NA,NA,NA,NA
1332,180,Carl,NaCl,NaCl,mg Cl- / L,mg/L,5.5,10,NA,21,21,NA,NA,NA,NA,5.5,10,NA,NA,5.5,10,NA,NA,NA,NA
1333,180,Carl,NaCl,NaCl,mg Cl- / L,mg/L,8.9,10,NA,21,21,NA,NA,NA,NA,8.9,10,NA,NA,8.9,10,NA,NA,NA,NA
1334,180,Carl,NaCl,NaCl,mg Cl- / L,mg/L,2.8,10,NA,21,21,NA,NA,NA,NA,2.8,10,NA,NA,2.8,10,NA,NA,NA,NA
1335,180,Carl,NaCl,NaCl,mg Cl- / L,mg/L,1.8,10,NA,21,21,NA,NA,NA,NA,1.8,10,NA,NA,1.8,10,NA,NA,NA,NA
1336,181,Rich,salinity,Salinity,ppt,ppt,0,11,NA,26,26,NA,NA,NA,NA,0,11,0,16849.20755995326,NA,NA,0,11,0,11000
1337,181,Rich,salinity,Salinity,ppt,ppt,0.3,11,NA,26,26,NA,NA,NA,NA,0.3,11,459.5238425441799,16849.20755995326,NA,NA,0.3,11,300,11000
1338,181,Rich,salinity,Salinity,ppt,ppt,0.3,11,NA,26,26,NA,NA,NA,NA,0.3,11,459.5238425441799,16849.20755995326,NA,NA,0.3,11,300,11000
1339,181,Rich,salinity,Salinity,ppt,ppt,0.3,11,NA,26,26,NA,NA,NA,NA,0.3,11,459.5238425441799,16849.20755995326,NA,NA,0.3,11,300,11000
1340,182,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,300,"7,928",NA,NA,NA,NA,NA,NA,NA,300,NA,300,NA,NA,NA,NA,NA,NA,NA
1341,182,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,300,"7,928",NA,NA,NA,NA,NA,NA,NA,300,NA,300,NA,NA,NA,NA,NA,NA,NA
1342,182,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,300,"7,928",NA,NA,NA,NA,NA,NA,NA,300,NA,300,NA,NA,NA,NA,NA,NA,NA
1343,182,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,300,"7,928",NA,NA,NA,NA,NA,NA,NA,300,NA,300,NA,NA,NA,NA,NA,NA,NA
1344,183,Rich,Nitrate,NO3-,mg/L,mg/L,0.55,1.26,NA,13.66 - 34.3,13.66,34.3,NA,NA,NA,0.55,1.26,NA,NA,0.55,1.26,NA,NA,NA,NA
1345,183,Rich,Nitrate,NO3-,mg/L,mg/L,0.55,1.26,NA,13.66 - 34.3,13.66,34.3,NA,NA,NA,0.55,1.26,NA,NA,0.55,1.26,NA,NA,NA,NA
1346,183,Rich,Nitrate,NO3-,mg/L,mg/L,0.55,1.26,NA,13.66 - 34.3,13.66,34.3,NA,NA,NA,0.55,1.26,NA,NA,0.55,1.26,NA,NA,NA,NA
1347,183,Rich,Nitrate,NO3-,mg/L,mg/L,0.55,1.26,NA,13.66 - 34.3,13.66,34.3,NA,NA,NA,0.55,1.26,NA,NA,0.55,1.26,NA,NA,NA,NA
1348,183,Rich,Nitrate,NO3-,mg/L,mg/L,0.55,1.26,NA,13.66 - 34.3,13.66,34.3,NA,NA,NA,0.55,1.26,NA,NA,0.55,1.26,NA,NA,NA,NA
1349,183,Rich,Nitrate,NO3-,mg/L,mg/L,0.55,1.26,NA,13.66 - 34.3,13.66,34.3,NA,NA,NA,0.55,1.26,NA,NA,0.55,1.26,NA,NA,NA,NA
1350,183,Rich,Nitrate,NO3-,mg/L,mg/L,0.55,1.26,NA,13.66 - 34.3,13.66,34.3,NA,NA,NA,0.55,1.26,NA,NA,0.55,1.26,NA,NA,NA,NA
1351,183,Rich,Nitrate,NO3-,mg/L,mg/L,0.55,1.26,NA,13.66 - 34.3,13.66,34.3,NA,NA,NA,0.55,1.26,NA,NA,0.55,1.26,NA,NA,NA,NA
1352,183,Rich,Nitrate,NO3-,mg/L,mg/L,0.55,1.26,NA,13.66 - 34.3,13.66,34.3,NA,NA,NA,0.55,1.26,NA,NA,0.55,1.26,NA,NA,NA,NA
1353,183,Rich,Nitrate,NO3-,mg/L,mg/L,0.55,1.26,NA,13.66 - 34.3,13.66,34.3,NA,NA,NA,0.55,1.26,NA,NA,0.55,1.26,NA,NA,NA,NA
1354,183,Rich,Nitrate,NO3-,mg/L,mg/L,0.55,1.26,NA,13.66 - 34.3,13.66,34.3,NA,NA,NA,0.55,1.26,NA,NA,0.55,1.26,NA,NA,NA,NA
1355,183,Rich,Nitrate,NO3-,mg/L,mg/L,0.55,1.26,NA,13.66 - 34.3,13.66,34.3,NA,NA,NA,0.55,1.26,NA,NA,0.55,1.26,NA,NA,NA,NA
1356,184,Rich,sodium bicarbonate,NaHCO3,uEq/L,uEq/L,11,32,NA,18 - 23,18,23,NA,NA,NA,11,32,NA,NA,0.9239999999999999,2.688,NA,NA,NA,NA
1357,184,Rich,sodium bicarbonate,NaHCO3,uEq/L,uEq/L,11,32,NA,18 - 23,18,23,NA,NA,NA,11,32,NA,NA,0.9239999999999999,2.688,NA,NA,NA,NA
1358,184,Rich,sodium bicarbonate,NaHCO3,uEq/L,uEq/L,11,32,NA,18 - 23,18,23,NA,NA,NA,11,32,NA,NA,0.9239999999999999,2.688,NA,NA,NA,NA
1359,184,Rich,ammonium sulfate,(NH4)2SO4,uEq/L,uEq/L,16,40,NA,18 - 23,18,23,NA,NA,NA,16,40,NA,NA,2.1142399999999997,5.2856,NA,NA,NA,NA
1360,184,Rich,ammonium sulfate,(NH4)2SO4,uEq/L,uEq/L,16,40,NA,18 - 23,18,23,NA,NA,NA,16,40,NA,NA,2.1142399999999997,5.2856,NA,NA,NA,NA
1361,184,Rich,ammonium sulfate,(NH4)2SO4,uEq/L,uEq/L,16,40,NA,18 - 23,18,23,NA,NA,NA,16,40,NA,NA,2.1142399999999997,5.2856,NA,NA,NA,NA
1362,184,Rich,ammonium sulfate,(NH4)2SO4,uEq/L,uEq/L,16,40,NA,18 - 23,18,23,NA,NA,NA,16,40,NA,NA,2.1142399999999997,5.2856,NA,NA,NA,NA
1363,184,Rich,ammonium sulfate,(NH4)2SO4,uEq/L,uEq/L,16,40,NA,18 - 23,18,23,NA,NA,NA,16,40,NA,NA,2.1142399999999997,5.2856,NA,NA,NA,NA
1364,184,Rich,ammonium sulfate,(NH4)2SO4,uEq/L,uEq/L,16,40,NA,18 - 23,18,23,NA,NA,NA,16,40,NA,NA,2.1142399999999997,5.2856,NA,NA,NA,NA
1365,184,Rich,ammonium sulfate,(NH4)2SO4,uEq/L,uEq/L,16,40,NA,18 - 23,18,23,NA,NA,NA,16,40,NA,NA,2.1142399999999997,5.2856,NA,NA,NA,NA
1366,184,Rich,ammonium sulfate,(NH4)2SO4,uEq/L,uEq/L,16,40,NA,18 - 23,18,23,NA,NA,NA,16,40,NA,NA,2.1142399999999997,5.2856,NA,NA,NA,NA
1367,184,Rich,ammonium sulfate,(NH4)2SO4,uEq/L,uEq/L,16,40,NA,18 - 23,18,23,NA,NA,NA,16,40,NA,NA,2.1142399999999997,5.2856,NA,NA,NA,NA
1368,184,Rich,ammonium sulfate,(NH4)2SO4,uEq/L,uEq/L,16,40,NA,18 - 23,18,23,NA,NA,NA,16,40,NA,NA,2.1142399999999997,5.2856,NA,NA,NA,NA
1369,184,Rich,potassium bicarbonate,KHCO3,uEq/L,uEq/L,16,40,NA,18 - 23,18,23,NA,NA,NA,16,40,NA,NA,1.60184,4.0046,NA,NA,NA,NA
1370,184,Rich,sodium bicarbonate,NaHCO3,uEq/L,uEq/L,11,32,NA,18 - 23,18,23,NA,NA,NA,11,32,NA,NA,0.9239999999999999,2.688,NA,NA,NA,NA
1371,184,Rich,ammonium sulfate,(NH4)2SO4,uEq/L,uEq/L,16,40,NA,18 - 23,18,23,NA,NA,NA,16,40,NA,NA,2.1142399999999997,5.2856,NA,NA,NA,NA
1372,185,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,96.38,505,NA,20.46 - 20.82,20.46,20.82,NA,NA,NA,96.38,505,96.38,505,NA,NA,NA,NA,NA,NA
1373,185,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,96.38,505,NA,20.46 - 20.82,20.46,20.82,NA,NA,NA,96.38,505,96.38,505,NA,NA,NA,NA,NA,NA
1374,185,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,96.38,505,NA,20.46 - 20.82,20.46,20.82,NA,NA,NA,96.38,505,96.38,505,NA,NA,NA,NA,NA,NA
1375,185,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,96.38,505,NA,20.46 - 20.82,20.46,20.82,NA,NA,NA,96.38,505,96.38,505,NA,NA,NA,NA,NA,NA
1376,185,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,96.38,505,NA,20.46 - 20.82,20.46,20.82,NA,NA,NA,96.38,505,96.38,505,NA,NA,NA,NA,NA,NA
1377,185,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,96.38,505,NA,20.46 - 20.82,20.46,20.82,NA,NA,NA,96.38,505,96.38,505,NA,NA,NA,NA,NA,NA
1378,185,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,96.38,505,NA,20.46 - 20.82,20.46,20.82,NA,NA,NA,96.38,505,96.38,505,NA,NA,NA,NA,NA,NA
1379,185,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,96.38,505,NA,20.46 - 20.82,20.46,20.82,NA,NA,NA,96.38,505,96.38,505,NA,NA,NA,NA,NA,NA
1380,185,Rich,Specific Conductance,Specific Conductance,uS/cm,µS/cm,96.38,505,NA,20.46 - 20.82,20.46,20.82,NA,NA,NA,96.38,505,96.38,505,NA,NA,NA,NA,NA,NA
1381,186,Lucy,calcium nitrate,calcium nitrate,g/L,g/L,0,5,not given,22.2,22.2,NA,NA,NA,NA,0,5,NA,NA,0,5000,NA,NA,NA,NA
1382,186,Lucy,NaCl & Ca(N03)2,NaCl & Ca(N03)2,g/L,g/L,0,7,not given,22.2,22.2,NA,NA,NA,NA,0,7,NA,NA,0,7000,NA,NA,NA,NA
1383,186,Lucy,NaCL,NaCl,g/L,g/L,0.031,4,not given,22.2,22.2,NA,NA,NA,NA,0.031,4,NA,NA,31,4000,NA,NA,NA,NA
1384,187,Carl,Ca (applied as CaCO3),Ca2+,mg Ca/L,mg/L,0,180,NA,2-30,2,30,NA,Applied as CaCO3,temp was also an experimental variable,0,180,NA,NA,0,180,NA,NA,NA,NA
1385,187,Carl,Ca (applied as CaCO3),Ca2+,mg Ca/L,mg/L,0,180,NA,2-30,2,30,NA,Applied as CaCO3,temp was also an experimental variable,0,180,NA,NA,0,180,NA,NA,NA,NA
1386,188,Carl,Ca (applied as sulfates; and in combination with Mg),Ca2+,mg Ca /L,mg/L,0.5,5,NA,26,26,NA,NA,Applied as sulfates; and in combination with Mg,NA,0.5,5,NA,NA,0.5,5,NA,NA,NA,NA
1387,188,Carl,Ca (applied as sulfates; and in combination with Mg),Ca2+,mg Ca/L,mg/L,0.5,5,NA,26,26,NA,NA,Applied as sulfates; and in combination with Mg,NA,0.5,5,NA,NA,0.5,5,NA,NA,NA,NA
1388,188,Carl,Ca (applied as sulfates; and in combination with Mg),Ca2+,mg Mg/L,mg/L,0.5,25,NA,26,26,NA,NA,Applied as sulfates; and in combination with Mg,NA,0.5,25,NA,NA,0.5,25,NA,NA,NA,NA
1389,188,Carl,Ca (applied as sulfates; and in combination with Mg),Ca2+,mg Mg/L,mg/L,0.5,25,NA,26,26,NA,NA,Applied as sulfates; and in combination with Mg,NA,0.5,25,NA,NA,0.5,25,NA,NA,NA,NA
1390,189,Sally,Specific Conductance,Specific Conductance,uS/cm,µS/cm,50,200,NA,"Multiple, See TempNotes","Multiple, See TempNotes",NA,NA,NA,varied among streams,50,200,50,200,NA,NA,NA,NA,NA,NA
1391,189,Sally,Specific Conductance,Specific Conductance,uS/cm,µS/cm,50,200,NA,"Multiple, See TempNotes","Multiple, See TempNotes",NA,NA,NA,varied among streams,50,200,50,200,NA,NA,NA,NA,NA,NA
1392,190,Sally,Specific Conductance,Specific Conductance,uS/cm,µS/cm,168,195,NA,NA,NA,NA,NA,NA,NA,168,195,168,195,NA,NA,NA,NA,NA,NA
1393,190,Sally,Specific Conductance,Specific Conductance,uS/cm,µS/cm,168,195,NA,NA,NA,NA,NA,NA,NA,168,195,168,195,NA,NA,NA,NA,NA,NA
1394,190,Sally,Specific Conductance,Specific Conductance,uS/cm,µS/cm,168,195,NA,NA,NA,NA,NA,NA,NA,168,195,168,195,NA,NA,NA,NA,NA,NA
1395,190,Sally,Specific Conductance,Specific Conductance,uS/cm,µS/cm,168,195,NA,NA,NA,NA,NA,NA,NA,168,195,168,195,NA,NA,NA,NA,NA,NA
1396,190,Sally,Specific Conductance,Specific Conductance,uS/cm,µS/cm,168,195,NA,NA,NA,NA,NA,NA,NA,168,195,168,195,NA,NA,NA,NA,NA,NA
1397,190,Sally,Specific Conductance,Specific Conductance,uS/cm,µS/cm,168,195,NA,NA,NA,NA,NA,NA,NA,168,195,168,195,NA,NA,NA,NA,NA,NA
1398,191,Joshua,seawater,Natural Seawater,%,%,1,10,NA,25,25,NA,NA,NA,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA
1399,191,Joshua,seawater,Natural Seawater,%,%,1,10,NA,25,25,NA,NA,NA,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA
1400,191,Joshua,seawater,Natural Seawater,%,%,0,10,NA,25,25,NA,NA,NA,NA,0,10,NA,NA,NA,NA,NA,NA,NA,NA
1401,191,Joshua,seawater,Natural Seawater,%,%,0,10,NA,25,25,NA,NA,NA,NA,0,10,NA,NA,NA,NA,NA,NA,NA,NA
