DataID,RefID,Reviewer,Salt_Iontype_Conductivity,Measurement,Units_salt_concentration_original,SaltUnits,Minimum_concentration_original,Maximum_concentration_original,Rate of change in salt (if applicaple),Temperature,TempSingleValue/Min,TempMax,TempPlusMinus,MeasurementNotes,TempNotes,Minimum_concentration_original_num,Maximum_concentration_original_num,Min_Conductivity_uScm,Max_Conductivity_uScm,Min_Concentration_ppm,Max_Concentration_ppm,Min_salinity_psu,Max_salinity_psu,Min_salinity_ppm,Max_salinity_ppm
28,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,323,6666,NA,16-17,16,17,NA,NA,NA,323,6666,NA,NA,323,6666,NA,NA,NA,NA
29,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,267,6666,NA,16-17,16,17,NA,NA,NA,267,6666,NA,NA,267,6666,NA,NA,NA,NA
30,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,8000,NA,10-11 C,10,11,NA,NA,NA,175,8000,NA,NA,175,8000,NA,NA,NA,NA
31,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,12000,NA,10-11 C,10,11,NA,NA,NA,175,12000,NA,NA,175,12000,NA,NA,NA,NA
32,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,3000,NA,23-26 C,23,26,NA,NA,NA,175,3000,NA,NA,175,3000,NA,NA,NA,NA
33,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,194,4000,NA,24-26 C,24,26,NA,NA,NA,194,4000,NA,NA,194,4000,NA,NA,NA,NA
34,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,5000,NA,14-15 C,14,15,NA,NA,NA,175,5000,NA,NA,175,5000,NA,NA,NA,NA
35,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,194,4000,NA,19,19,NA,NA,NA,NA,194,4000,NA,NA,194,4000,NA,NA,NA,NA
36,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,4000,NA,19,19,NA,NA,NA,NA,175,4000,NA,NA,175,4000,NA,NA,NA,NA
37,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,10000,NA,15-17,15,17,NA,NA,NA,175,10000,NA,NA,175,10000,NA,NA,NA,NA
38,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,2500,NA,19-22 C,19,22,NA,NA,NA,175,2500,NA,NA,175,2500,NA,NA,NA,NA
39,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,2000,NA,19-22 C,19,22,NA,NA,NA,175,2000,NA,NA,175,2000,NA,NA,NA,NA
40,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,2000,NA,19-22 C,19,22,NA,NA,NA,175,2000,NA,NA,175,2000,NA,NA,NA,NA
41,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,175,5000,NA,17-19 C,17,19,NA,NA,NA,175,5000,NA,NA,175,5000,NA,NA,NA,NA
42,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,194,5000,NA,17-19 C,17,19,NA,NA,NA,194,5000,NA,NA,194,5000,NA,NA,NA,NA
43,5,Jo/Rich,NaHCO3,NaHCO3,mg/l,mg/L,194,2000,NA,23 C,23,NA,NA,NA,NA,194,2000,NA,NA,194,2000,NA,NA,NA,NA
44,6,Jo,salinity,Salinity,g/l,g/L,0.8,6.4,NA,NA,NA,NA,NA,NA,NA,0.8,6.4,1225.3969134511465,9803.175307609172,NA,NA,0.8,6.4,800,6400
45,6,Jo,salinity,Salinity,g/l,g/L,0.8,6.4,NA,NA,NA,NA,NA,NA,NA,0.8,6.4,1225.3969134511465,9803.175307609172,NA,NA,0.8,6.4,800,6400
46,6,Jo,salinity,Salinity,g/l,g/L,0.8,6.4,NA,NA,NA,NA,NA,NA,NA,0.8,6.4,1225.3969134511465,9803.175307609172,NA,NA,0.8,6.4,800,6400
47,6,Jo,salinity,Salinity,g/l,g/L,0.8,6.4,NA,NA,NA,NA,NA,NA,NA,0.8,6.4,1225.3969134511465,9803.175307609172,NA,NA,0.8,6.4,800,6400
48,6,Jo,salinity,Salinity,g/l,g/L,0.8,6.4,NA,NA,NA,NA,NA,NA,NA,0.8,6.4,1225.3969134511465,9803.175307609172,NA,NA,0.8,6.4,800,6400
49,6,Jo,salinity,Salinity,g/l,g/L,0.8,6.4,NA,NA,NA,NA,NA,NA,NA,0.8,6.4,1225.3969134511465,9803.175307609172,NA,NA,0.8,6.4,800,6400
50,6,Jo,salinity,Salinity,g/l,g/L,0.8,6.4,NA,NA,NA,NA,NA,NA,NA,0.8,6.4,1225.3969134511465,9803.175307609172,NA,NA,0.8,6.4,800,6400
51,6,Jo,salinity,Salinity,g/l,g/L,0.8,6.4,NA,NA,NA,NA,NA,NA,NA,0.8,6.4,1225.3969134511465,9803.175307609172,NA,NA,0.8,6.4,800,6400
52,7,Amber,CaCl2,CaCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,7,Amber,CaCl2,CaCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,7,Amber,KCl,KCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,7,Amber,Na2SO4,Na2SO4,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,7,Amber,MgSO4,MgSO4,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,7,Amber,CaSO4,CaSO4,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,7,Amber,MgCO3,MgCO3,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,7,Amber,NaHCO3,NaHCO3,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,7,Amber,CaCl2,CaCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,7,Amber,CaCl2,CaCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,7,Amber,CaCl2,CaCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,7,Amber,CaCl2,CaCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,7,Amber,CaCl2,CaCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,7,Amber,NaCl,NaCl,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,7,Amber,MgCl2,MgCl2,mmol,mmol,not given,not given,sudden,24.6,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
110,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
111,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
112,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
113,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
114,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
115,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
116,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
117,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
118,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
119,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
120,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
121,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
122,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
123,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
124,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
125,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
126,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
127,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
128,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
129,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
130,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
131,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
132,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
133,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
134,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
135,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
136,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
137,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
138,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
139,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
140,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
141,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
142,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
143,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
144,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
145,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
146,8,Amber,NaCl,NaCl,g L-,g/L,3,9,NA,23-25 C,23,25,NA,NA,NA,3,9,NA,NA,3000,9000,NA,NA,NA,NA
147,9,Sally,"KCl, MgSO4, CaCl, K2HPO4, KH2PO4, NaNO3, NaSiO3, FeCl3,","KCl, MgSO4, CaCl, K2HPO4, KH2PO4, NaNO3, NaSiO3, FeCl3,",mg/ L,mg/L,0.1,10,NA,"Multiple, See TempNotes","Multiple, See TempNotes",NA,NA,NA,"20, 24, 28, 32C",0.1,10,NA,NA,0.1,10,NA,NA,NA,NA
148,9,Sally,"KCl, MgSO4, CaCl, K2HPO4, KH2PO4, NaNO3, NaSiO3, FeCl3,","KCl, MgSO4, CaCl, K2HPO4, KH2PO4, NaNO3, NaSiO3, FeCl3,",mg/ L,mg/L,0.1,10,NA,"Multiple, See TempNotes","Multiple, See TempNotes",NA,NA,NA,"20, 24, 28, 32C",0.1,10,NA,NA,0.1,10,NA,NA,NA,NA
149,9,Sally,"KCl, MgSO4, CaCl, K2HPO4, KH2PO4, NaNO3, NaSiO3, FeCl3,","KCl, MgSO4, CaCl, K2HPO4, KH2PO4, NaNO3, NaSiO3, FeCl3,",mg/ L,mg/L,0.1,10,NA,"Multiple, See TempNotes","Multiple, See TempNotes",NA,NA,NA,"20, 24, 28, 32C",0.1,10,NA,NA,0.1,10,NA,NA,NA,NA
