Taxonomic_classification,Threat_Reclassified,RefID,Min_Concentration_ppm,Max_Concentration_ppm,Measurement
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,750,9000,NaCl
Zooplankton,Climate/Intrusion,13,750,9000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Zooplankton,Climate/Intrusion,13,500,3000,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,412,6594,NaCl
Insect,Road Salts,15,412,6594,NaCl
Insect,Road Salts,15,412,6594,NaCl
Insect,Road Salts,15,412,6594,NaCl
Insect,Road Salts,15,412,6594,NaCl
Insect,Road Salts,15,412,6594,NaCl
Insect,Road Salts,15,412,6594,NaCl
Insect,Road Salts,15,412,6594,NaCl
Insect,Road Salts,15,412,6594,NaCl
Insect,Road Salts,15,412,6594,NaCl
Insect,Road Salts,15,412,6594,NaCl
Insect,Road Salts,15,412,6594,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,824,13188,NaCl
Insect,Road Salts,15,412,6594,NaCl
Insect,Road Salts,15,412,6594,NaCl
amphibian,Climate/Intrusion,27,0,8000,mixture
amphibian,Climate/Intrusion,27,0,8000,mixture
amphibian,Climate/Intrusion,27,0,8000,mixture
amphibian,Climate/Intrusion,27,0,8000,mixture
amphibian,Climate/Intrusion,27,0,8000,mixture
amphibian,Climate/Intrusion,27,0,8000,mixture
amphibian,Climate/Intrusion,27,0,8000,mixture
amphibian,Climate/Intrusion,27,0,8000,mixture
amphibian,Climate/Intrusion,27,200,20500,mixture
amphibian,Climate/Intrusion,27,200,20500,mixture
amphibian,Climate/Intrusion,27,0,12000,mixture
amphibian,Climate/Intrusion,27,0,12000,mixture
Fish,Anthropogenic: Multiple sources,32,0,5.4,NaF
Fish,Anthropogenic: Multiple sources,32,0,5.4,NaF
Fish,Agriculture,34,0,0.03851,Cartap hydrochloride
Fish,Agriculture,34,0,0.03851,Cartap hydrochloride
Fish,Agriculture,34,0,0.03851,Cartap hydrochloride
Fish,Agriculture,34,0,0.03851,Cartap hydrochloride
Fish,Agriculture,34,0,0.03851,Cartap hydrochloride
Fish,Agriculture,34,0,0.03851,Cartap hydrochloride
Fish,Agriculture,34,0,0.03851,Cartap hydrochloride
Fish,Agriculture,34,0,0.03851,Cartap hydrochloride
Fish,Agriculture,34,0,0.03851,Cartap hydrochloride
Fish,Agriculture,34,0,0.03851,Cartap hydrochloride
Fish,Agriculture,34,0,0.03851,Cartap hydrochloride
Fish,Agriculture,34,0,0.03851,Cartap hydrochloride
Fish,Agriculture,34,0,0.03851,Cartap hydrochloride
Fish,Agriculture,34,0,0.03851,Cartap hydrochloride
Fish,Agriculture,34,0,0.03851,Cartap hydrochloride
Fish,Agriculture,34,0,0.03851,Cartap hydrochloride
Fish,Agriculture,34,0.01,0.1,Cartap hydrochloride
Fish,1,37,1000,8000,NaCl
Fish,1,37,1000,8000,NaCl
Fish,Aquaculture,39,0,12000,Marine water
Fish,Aquaculture,39,0,12000,Marine water
Fish,Aquaculture,39,0,12000,Marine water
Fish,Aquaculture,39,0,12000,Marine water
Fish,Aquaculture,39,0,12000,Marine water
Fish,Aquaculture,39,0,16000,Marine water
Insect,1,44,9,11,Cl-
Insect,1,44,19,28,Ca2+
Crustacean,Aquaculture,58,35,100,CaSO4
Crustacean,Aquaculture,58,35,100,CaCl2
Crustacean,Aquaculture,58,35,100,NaCl
Fish,Aquaculture,62,0,10000,common salt (NaCl?)
Fish,Aquaculture,62,0,10000,common salt (NaCl?)
Fish,Aquaculture,62,0,10000,common salt (NaCl?)
Fish,Aquaculture,62,0,10000,common salt (NaCl?)
Fish,Aquaculture,62,0,10000,common salt (NaCl?)
Fish,Aquaculture,62,0,10000,common salt (NaCl?)
Fish,Aquaculture,62,0,10000,common salt (NaCl?)
Fish,"Tolerance, Mechanistic, Osmoreg",65,0.35,35,K+
Fish,"Tolerance, Mechanistic, Osmoreg",65,0.35,35,K+
Crustacean,1,66,2.299,45.98,Na+
Crustacean,1,66,2.299,45.98,Na+
Crustacean,1,66,0.9196,45.98,Na+
Crustacean,"Tolerance, Mechanistic, Osmoreg",70,0,486.2,Mg3+
Crustacean,"Tolerance, Mechanistic, Osmoreg",70,0,1954.5000000000002,K+
Zooplankton,Urban/Indust,78,22.5,32.4,Cl-
Zooplankton,Urban/Indust,78,22.5,32.4,Cl-
Zooplankton,Urban/Indust,78,22.5,32.4,Cl-
Fish,Agriculture,82,34,3140,Cl-
Fish,Agriculture,82,34,3140,Cl-
Fish,Agriculture,82,34,3140,Cl-
Fish,Agriculture,82,34,3140,Cl-
Fish,Agriculture,82,34,3140,Cl-
Fish,Agriculture,82,34,3140,Cl-
Fish,Agriculture,82,34,3140,Cl-
Fish,Agriculture,82,34,3140,Cl-
Fish,Agriculture,82,34,3140,Cl-
Fish,Agriculture,82,34,3140,Cl-
Fish,Agriculture,82,34,3140,Cl-
Fish,Agriculture,82,34,3140,Cl-
Fish,Agriculture,82,34,3140,Cl-
Fish,Agriculture,82,34,3140,Cl-
Fish,Agriculture,82,34,3140,Cl-
Fish,Agriculture,82,34,3140,Cl-
Fish,Agriculture,82,34,3140,Cl-
Fish,"Tolerance, Mechanistic, Osmoreg",84,0,0.380844,MgCl2
Fish,"Tolerance, Mechanistic, Osmoreg",84,0,0.44392000000000004,CaCl2
Fish,"Tolerance, Mechanistic, Osmoreg",84,0,0.11688,NaCl
Fish,Anthropogenic: Multiple sources,92,0,10000,NaCl
Fish,Anthropogenic: Multiple sources,92,0,10000,NaCl
Fish,Anthropogenic: Multiple sources,92,0,10000,NaCl
Fish,Anthropogenic: Multiple sources,92,0,10000,NaCl
Fish,Anthropogenic: Multiple sources,92,0,10000,NaCl
Fish,Anthropogenic: Multiple sources,92,0,10000,NaCl
Fish,Anthropogenic: Multiple sources,92,0,10000,NaCl
Fish,Anthropogenic: Multiple sources,92,0,10000,NaCl
