DataID,RefID,Reviewer,Focal: Salt/Ion type (if known) OR Conductivity,Units for salt concentration_original,Minimum concentration_original,Maximum concentration_original,Rate of change in salt (if applicaple),Temperature (C),TempSingleValue/Min,TempMax,Measurement,MeasurementNotes,TempNotes,TempPlusMinus
1227,488,Rich,nitrate,mg/L,0.52,1.75,NA,NA,NA,NA,NO3-,NA,NA,NA
1228,488,Rich,nitrate,mg/L,0.52,1.75,NA,NA,NA,NA,NO3-,NA,NA,NA
1229,488,Rich,nitrate,mg/L,0.52,1.75,NA,NA,NA,NA,NO3-,NA,NA,NA
1230,488,Rich,nitrate,mg/L,0.52,1.75,NA,NA,NA,NA,NO3-,NA,NA,NA
1231,488,Rich,nitrate,mg/L,0.52,1.75,NA,NA,NA,NA,NO3-,NA,NA,NA
1232,488,Rich,nitrate,mg/L,0.52,1.75,NA,NA,NA,NA,NO3-,NA,NA,NA
1233,506,Rich,conductivity,mg/L,0,900,NA,ambient,Ambient,NA,Conductivity,NA,NA,NA
1234,510,Joshua,road salt,mg/l,0,10000,NA,18.1-18.3,18.1,18.3,road salt,NA,NA,NA
1235,510,Joshua,road salt,mg/l,0,10000,NA,8.1-8.7,8.1,8.7,road salt,NA,NA,NA
1236,510,Joshua,road salt,mg/l,0,10000,NA,10.5-10.7,10.5,10.7,road salt,NA,NA,NA
1237,510,Joshua,road salt,mg/l,0,18825,NA,19.4-19.5,19.4,19.5,road salt,NA,NA,NA
1238,510,Joshua,road salt,mg/l,0,10000,NA,18.1-18.3,18.1,18.3,road salt,NA,NA,NA
1239,510,Joshua,road salt,mg/l,0,10000,NA,8.1-8.7,8.1,8.7,road salt,NA,NA,NA
1240,510,Joshua,road salt,mg/l,0,10000,NA,10.5-10.7,10.5,10.7,road salt,NA,NA,NA
1241,511,Joshua,NaCl,mg/l,0,10000,NA,NA,NA,NA,NaCl,NA,NA,NA
1242,511,Joshua,NaCl,mg/l,0,10000,NA,NA,NA,NA,NaCl,NA,NA,NA
1243,511,Joshua,NaCl,mg/l,0,10000,NA,NA,NA,NA,NaCl,NA,NA,NA
1244,511,Joshua,NaCl,mg/l,0,10000,NA,NA,NA,NA,NaCl,NA,NA,NA
1245,511,Joshua,NaCl,mg/l,0,10000,NA,NA,NA,NA,NaCl,NA,NA,NA
1246,511,Joshua,NaCl,mg/l,0,10000,NA,NA,NA,NA,NaCl,NA,NA,NA
1247,511,Joshua,NaCl,mg/l,0,10000,NA,NA,NA,NA,NaCl,NA,NA,NA
1248,511,Joshua,Cl-,mg/l,11.86,12.66,NA,NA,NA,NA,Cl-,NA,NA,NA
1249,513,Joshua,NaHCO3,mg/l,33.3,843,NA,11.4-11.7,11.4,11.7,NaHCO3,NA,NA,NA
1250,513,Joshua,MgSO4,mg/l,5.7,760,NA,10.6-10.7,10.6,10.7,MgSO4,NA,NA,NA
1251,513,Joshua,NaCl,mg/l,2.6,978.3,NA,8.9-9.1,8.9,9.1,NaCl,NA,NA,NA
1252,513,Joshua,NaCl,mg/l,2.9,1433.3,NA,12.6-12.9,12.6,12.9,NaCl,NA,NA,NA
1253,513,Joshua,NaHCO3,mg/l,33.3,843,NA,11.4-11.7,11.4,11.7,NaHCO3,NA,NA,NA
1254,513,Joshua,MgSO4,mg/l,5.7,760,NA,10.6-10.7,10.6,10.7,MgSO4,NA,NA,NA
1255,513,Joshua,NaCl,mg/l,2.6,978.3,NA,8.9-9.1,8.9,9.1,NaCl,NA,NA,NA
1256,513,Joshua,NaCl,mg/l,2.9,1433.3,NA,12.6-12.9,12.6,12.9,NaCl,NA,NA,NA
1257,513,Joshua,NaHCO3,mg/l,33.3,843,NA,11.4-11.7,11.4,11.7,NaHCO3,NA,NA,NA
1258,513,Joshua,MgSO4,mg/l,5.7,760,NA,10.6-10.7,10.6,10.7,MgSO4,NA,NA,NA
1259,513,Joshua,NaCl,mg/l,2.6,978.3,NA,8.9-9.1,8.9,9.1,NaCl,NA,NA,NA
1260,513,Joshua,NaCl,mg/l,2.9,1433.3,NA,12.6-12.9,12.6,12.9,NaCl,NA,NA,NA
1261,513,Joshua,NaHCO3,mg/l,33.3,843,NA,11.4-11.7,11.4,11.7,NaHCO3,NA,NA,NA
1262,513,Joshua,MgSO4,mg/l,5.7,760,NA,10.6-10.7,10.6,10.7,MgSO4,NA,NA,NA
1263,513,Joshua,NaCl,mg/l,2.6,978.3,NA,8.9-9.1,8.9,9.1,NaCl,NA,NA,NA
1264,513,Joshua,NaCl,mg/l,2.9,1433.3,NA,12.6-12.9,12.6,12.9,NaCl,NA,NA,NA
1265,513,Joshua,NaHCO3,mg/l,33.3,843,NA,11.4-11.7,11.4,11.7,NaHCO3,NA,NA,NA
1266,513,Joshua,MgSO4,mg/l,5.7,760,NA,10.6-10.7,10.6,10.7,MgSO4,NA,NA,NA
1267,513,Joshua,NaCl,mg/l,2.6,978.3,NA,8.9-9.1,8.9,9.1,NaCl,NA,NA,NA
1268,513,Joshua,NaCl,mg/l,2.9,1433.3,NA,12.6-12.9,12.6,12.9,NaCl,NA,NA,NA
1269,513,Joshua,NaHCO3,mg/l,33.3,843,NA,11.4-11.7,11.4,11.7,NaHCO3,NA,NA,NA
1270,513,Joshua,MgSO4,mg/l,5.7,760,NA,10.6-10.7,10.6,10.7,MgSO4,NA,NA,NA
1271,513,Joshua,NaCl,mg/l,2.6,978.3,NA,8.9-9.1,8.9,9.1,NaCl,NA,NA,NA
1272,513,Joshua,NaCl,mg/l,2.9,1433.3,NA,12.6-12.9,12.6,12.9,NaCl,NA,NA,NA
1273,513,Joshua,NaHCO3,mg/l,33.3,843,NA,11.4-11.7,11.4,11.7,NaHCO3,NA,NA,NA
1274,513,Joshua,MgSO4,mg/l,5.7,760,NA,10.6-10.7,10.6,10.7,MgSO4,NA,NA,NA
1275,513,Joshua,NaCl,mg/l,2.6,978.3,NA,8.9-9.1,8.9,9.1,NaCl,NA,NA,NA
1276,513,Joshua,NaCl,mg/l,2.9,1433.3,NA,12.6-12.9,12.6,12.9,NaCl,NA,NA,NA
1277,513,Joshua,NaHCO3,mg/l,33.3,843,NA,11.4-11.7,11.4,11.7,NaHCO3,NA,NA,NA
1278,513,Joshua,MgSO4,mg/l,5.7,760,NA,10.6-10.7,10.6,10.7,MgSO4,NA,NA,NA
1279,513,Joshua,NaCl,mg/l,2.6,978.3,NA,8.9-9.1,8.9,9.1,NaCl,NA,NA,NA
1280,513,Joshua,NaCl,mg/l,2.9,1433.3,NA,12.6-12.9,12.6,12.9,NaCl,NA,NA,NA
1281,513,Joshua,NaHCO3,mg/l,33.3,843,NA,11.4-11.7,11.4,11.7,NaHCO3,NA,NA,NA
1282,513,Joshua,MgSO4,mg/l,5.7,760,NA,10.6-10.7,10.6,10.7,MgSO4,NA,NA,NA
1283,513,Joshua,NaCl,mg/l,2.6,978.3,NA,8.9-9.1,8.9,9.1,NaCl,NA,NA,NA
1284,513,Joshua,NaCl,mg/l,2.9,1433.3,NA,12.6-12.9,12.6,12.9,NaCl,NA,NA,NA
1285,513,Joshua,NaHCO3,mg/l,33.3,843,NA,11.4-11.7,11.4,11.7,NaHCO3,NA,NA,NA
1286,513,Joshua,MgSO4,mg/l,5.7,760,NA,10.6-10.7,10.6,10.7,MgSO4,NA,NA,NA
1287,513,Joshua,NaCl,mg/l,2.6,978.3,NA,8.9-9.1,8.9,9.1,NaCl,NA,NA,NA
1288,513,Joshua,NaCl,mg/l,2.9,1433.3,NA,12.6-12.9,12.6,12.9,NaCl,NA,NA,NA
1289,513,Joshua,NaHCO3,mg/l,33.3,843,NA,11.4-11.7,11.4,11.7,NaHCO3,NA,NA,NA
1290,513,Joshua,MgSO4,mg/l,5.7,760,NA,10.6-10.7,10.6,10.7,MgSO4,NA,NA,NA
1291,513,Joshua,NaCl,mg/l,2.6,978.3,NA,8.9-9.1,8.9,9.1,NaCl,NA,NA,NA
1292,513,Joshua,NaCl,mg/l,2.9,1433.3,NA,12.6-12.9,12.6,12.9,NaCl,NA,NA,NA
1293,513,Joshua,NaHCO3,mg/l,33.3,843,NA,11.4-11.7,11.4,11.7,NaHCO3,NA,NA,NA
1294,513,Joshua,MgSO4,mg/l,5.7,760,NA,10.6-10.7,10.6,10.7,MgSO4,NA,NA,NA
1295,513,Joshua,NaCl,mg/l,2.6,978.3,NA,8.9-9.1,8.9,9.1,NaCl,NA,NA,NA
1296,513,Joshua,NaCl,mg/l,2.9,1433.3,NA,12.6-12.9,12.6,12.9,NaCl,NA,NA,NA
1297,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1298,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1299,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1300,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1301,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1302,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1303,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1304,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1305,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1306,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1307,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1308,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1309,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1310,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1311,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1312,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1313,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1314,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1315,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1316,549,Joshua,"Cl-, SO4",mg/L,98.2; 99,"213,000; 1246",NA,14,14,NA,"Cl-, SO4",NA,NA,NA
1317,567,Rich,Chloride,mg/L,8.1,1148.6,NA,7.6-22.6,7.6,22.6,Cl-,NA,NA,NA
1318,5,Jo/Rich,NaHCO3,mg/l,175,16000,NA,21-23 C,21,23 ,NaHCO3,NA,NA,NA
1319,5,Jo/Rich,NaHCO3,mg/l,194,16000,NA,21-23 C,21,23 ,NaHCO3,NA,NA,NA
1320,336,Rich,Nitrate,mg/L,1.79,7.93,NA,3.5 - 16,3.5 , 16,NO3-,NA,NA,NA
1321,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1322,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1323,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1324,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1325,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1326,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1327,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1328,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1329,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1330,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1331,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1332,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1333,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1334,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1335,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1336,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1337,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1338,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1339,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1340,499,Rich,chloride,mg/L,1,3880,NA,ambient,Ambient,NA,Cl-,NA,NA,NA
1341,514,Rich,NaCl,mg/L,15,1000,NA,17-29,17,29,NaCl,NA,NA,NA
1342,514,Rich,NaCl,mg/L,15,1000,NA,17-29,17,29,NaCl,NA,NA,NA
1343,514,Rich,NaCl,mg/L,15,1000,NA,17-29,17,29,NaCl,NA,NA,NA
1344,2,Rich,CaCO3,mg/L,2,120,NA,"25,2","25,2",NA,CaCO3,NA,NA,NA
1345,2,Rich,CaCO3,mg/L,2,120,NA,25.2,25.2,NA,CaCO3,NA,NA,NA
1346,5,Jo/Rich,NaHCO3,mg/l,175,2500,NA,19-22 C,19,22 ,NaHCO3,NA,NA,NA
1347,5,Jo/Rich,NaHCO3,mg/l,175,2000,NA,19-22 C,19,22 ,NaHCO3,NA,NA,NA
1348,5,Jo/Rich,NaHCO3,mg/l,175,2000,NA,19-22 C,19,22 ,NaHCO3,NA,NA,NA
1349,100,Rich,sodium bicarbonate,mg/L,175,1500,NA,20,20,NA,NaHCO3,NA,NA,NA
1350,267,Rich,total dissolved solids,mg/L,10,400,NA,ambient,Ambient,NA,Total Dissolved Solids,NA,NA,NA
1351,267,Rich,total dissolved solids,mg/L,10,400,NA,ambient,Ambient,NA,Total Dissolved Solids,NA,NA,NA
1352,267,Rich,total dissolved solids,mg/L,10,400,NA,ambient,Ambient,NA,Total Dissolved Solids,NA,NA,NA
1353,267,Rich,total dissolved solids,mg/L,10,400,NA,ambient,Ambient,NA,Total Dissolved Solids,NA,NA,NA
1354,267,Rich,total dissolved solids,mg/L,10,400,NA,ambient,Ambient,NA,Total Dissolved Solids,NA,NA,NA
1355,315,Rich,chloride,mg/l,10,6000,NA,7,7,NA,Cl-,NA,NA,NA
1356,315,Rich,chloride,mg/l,10,2000,NA,7,7,NA,Cl-,NA,NA,NA
1357,342,Rich,Calcium,mg/L,39.2,56.1,NA,6.3 - 31.4,6.3 , 31.4,Ca2+,NA,NA,NA
1358,342,Rich,Calcium,mg/L,39.2,56.1,NA,6.3 - 31.4,6.3 , 31.4,Ca2+,NA,NA,NA
1359,342,Rich,Calcium,mg/L,39.2,56.1,NA,6.3 - 31.4,6.3 , 31.4,Ca2+,NA,NA,NA
1360,342,Rich,Calcium,mg/L,39.2,56.1,NA,6.3 - 31.4,6.3 , 31.4,Ca2+,NA,NA,NA
1361,342,Rich,Calcium,mg/L,39.2,56.1,NA,6.3 - 31.4,6.3 , 31.4,Ca2+,NA,NA,NA
1362,342,Rich,Calcium,mg/L,39.2,56.1,NA,6.3 - 31.4,6.3 , 31.4,Ca2+,NA,NA,NA
1363,342,Rich,Calcium,mg/L,39.2,56.1,NA,6.3 - 31.4,6.3 , 31.4,Ca2+,NA,NA,NA
1364,342,Rich,Calcium,mg/L,39.2,56.1,NA,6.3 - 31.4,6.3 , 31.4,Ca2+,NA,NA,NA
1365,342,Rich,Calcium,mg/L,39.2,56.1,NA,6.3 - 31.4,6.3 , 31.4,Ca2+,NA,NA,NA
1366,342,Rich,Calcium,mg/L,39.2,56.1,NA,6.3 - 31.4,6.3 , 31.4,Ca2+,NA,NA,NA
1367,342,Rich,Calcium,mg/L,39.2,56.1,NA,6.3 - 31.4,6.3 , 31.4,Ca2+,NA,NA,NA
1368,342,Rich,Calcium,mg/L,39.2,56.1,NA,6.3 - 31.4,6.3 , 31.4,Ca2+,NA,NA,NA
1369,342,Rich,Calcium,mg/L,39.2,56.1,NA,6.3 - 31.4,6.3 , 31.4,Ca2+,NA,NA,NA
1370,374,Rich,NaCl,mg/L,250,4367,sudden,21.7 -  28.5,21.7 ,  28.5,NaCl,NA,NA,NA
1371,374,Rich,MgCl,mg/L,250,2188,sudden,21.7 -  28.5,21.7 ,  28.5,MgCl2,NA,NA,NA
1372,374,Rich,CaCl,mg/L,250,3559,sudden,21.7 -  28.5,21.7 ,  28.5,CaCl2,NA,NA,NA
1373,374,Rich,NaCl,mg/L,250,4367,sudden,21.7 -  28.5,21.7 ,  28.5,NaCl,NA,NA,NA
1374,374,Rich,NaCl,mg/L,250,4367,sudden,21.7 -  28.5,21.7 ,  28.5,NaCl,NA,NA,NA
1375,374,Rich,CaCl,mg/L,250,3559,sudden,21.7 -  28.5,21.7 ,  28.5,CaCl2,NA,NA,NA
1376,374,Rich,CaCl,mg/L,250,3559,sudden,21.7 -  28.5,21.7 ,  28.5,CaCl2,NA,NA,NA
1377,374,Rich,MgCl,mg/L,250,2188,sudden,21.7 -  28.5,21.7 ,  28.5,MgCl2,NA,NA,NA
1378,374,Rich,MgCl,mg/L,250,2188,sudden,21.7 -  28.5,21.7 ,  28.5,MgCl2,NA,NA,NA
1379,374,Rich,NaCl,mg/L,250,4367,sudden,21.7 -  28.5,21.7 ,  28.5,NaCl,NA,NA,NA
1380,374,Rich,NaCl,mg/L,250,4367,sudden,21.7 -  28.5,21.7 ,  28.5,NaCl,NA,NA,NA
1381,374,Rich,MgCl,mg/L,250,2188,sudden,21.7 -  28.5,21.7 ,  28.5,MgCl2,NA,NA,NA
1382,374,Rich,CaCl,mg/L,250,3559,sudden,21.7 -  28.5,21.7 ,  28.5,CaCl2,NA,NA,NA
1383,374,Rich,MgCl,mg/L,250,2188,sudden,21.7 -  28.5,21.7 ,  28.5,MgCl2,NA,NA,NA
1384,374,Rich,CaCl,mg/L,250,3559,sudden,21.7 -  28.5,21.7 ,  28.5,CaCl2,NA,NA,NA
1385,374,Rich,NaCl,mg/L,250,4367,sudden,21.7 -  28.5,21.7 ,  28.5,NaCl,NA,NA,NA
1386,374,Rich,MgCl,mg/L,250,2188,sudden,21.7 -  28.5,21.7 ,  28.5,MgCl2,NA,NA,NA
1387,374,Rich,CaCl,mg/L,250,3559,sudden,21.7 -  28.5,21.7 ,  28.5,CaCl2,NA,NA,NA
1388,380,Rich,salinity,mg/L,20,8100,sudden,NA,NA,NA,Salinity,NA,NA,NA
1389,380,Rich,salinity,mg/L,20,8100,sudden,NA,NA,NA,Salinity,NA,NA,NA
1390,380,Rich,salinity,mg/L,20,8100,sudden,NA,NA,NA,Salinity,NA,NA,NA
1391,380,Rich,salinity,mg/L,20,8100,sudden,NA,NA,NA,Salinity,NA,NA,NA
1392,431,Rich,sulfate,mg/L,20,6400,sudden,23,23,NA,SO4 2-,NA,NA,NA
1393,431,Rich,sulfate,mg/L,20,6400,sudden,23,23,NA,SO4 2-,NA,NA,NA
1394,431,Rich,sulfate,mg/L,20,6400,sudden,23,23,NA,SO4 2-,NA,NA,NA
1395,431,Rich,sulfate,mg/L,20,6400,sudden,23,23,NA,SO4 2-,NA,NA,NA
1396,431,Rich,sulfate,mg/L,20,6400,sudden,23,23,NA,SO4 2-,NA,NA,NA
1397,473,Rich,mixture (carbonate relationship),mg/L,0,24,NA,28-Sep,28,Sep,mixture (carbonate relationship),NA,NA,NA
1398,473,Rich,mixture (carbonate relationship),mg/L,0,24,NA,28-Sep,28,Sep,mixture (carbonate relationship),NA,NA,NA
1399,524,Rich,NaCl,mg/L,335,5962,NA,11,11,NA,NaCl,NA,NA,NA
1400,524,Rich,NaCl,mg/L,130,2909,NA,11,11,NA,NaCl,NA,NA,NA
1401,524,Rich,NaCl,mg/L,130,2909,NA,11,11,NA,NaCl,NA,NA,NA
1402,524,Rich,NaCl,mg/L,130,2909,NA,11,11,NA,NaCl,NA,NA,NA
1403,524,Rich,NaCl,mg/L,130,2909,NA,11,11,NA,NaCl,NA,NA,NA
1404,235,Abigail,salinity,mg/L,1500,3500,NA,NA,NA,NA,Salinity,NA,NA,NA
1405,215,Carl,calcium,mg/L,10,100,NA,ambient,Ambient,NA,Ca2+,NA,NA,NA
1406,215,Carl,magnesium,mg/L,20,100,NA,ambient,Ambient,NA,Mg3+,NA,NA,NA
1407,215,Carl,magnesium,mg/L,20,100,NA,ambient,Ambient,NA,Mg3+,NA,NA,NA
1408,215,Carl,calcium,mg/L,10,100,NA,ambient,Ambient,NA,Ca2+,NA,NA,NA
1409,215,Carl,calcium,mg/L,10,100,NA,ambient,Ambient,NA,Ca2+,NA,NA,NA
1410,215,Carl,calcium,mg/L,10,100,NA,ambient,Ambient,NA,Ca2+,NA,NA,NA
1411,215,Carl,calcium,mg/L,10,100,NA,ambient,Ambient,NA,Ca2+,NA,NA,NA
1412,215,Carl,magnesium,mg/L,20,100,NA,ambient,Ambient,NA,Mg3+,NA,NA,NA
1413,215,Carl,calcium,mg/L,10,100,NA,ambient,Ambient,NA,Ca2+,NA,NA,NA
1414,215,Carl,magnesium,mg/L,20,100,NA,ambient,Ambient,NA,Mg3+,NA,NA,NA
1415,215,Carl,magnesium,mg/L,20,100,NA,ambient,Ambient,NA,Mg3+,NA,NA,NA
1416,215,Carl,calcium,mg/L,10,100,NA,ambient,Ambient,NA,Ca2+,NA,NA,NA
1417,215,Carl,calcium,mg/L,10,100,NA,ambient,Ambient,NA,Ca2+,NA,NA,NA
1418,215,Carl,magnesium,mg/L,20,100,NA,ambient,Ambient,NA,Mg3+,NA,NA,NA
1419,215,Carl,magnesium,mg/L,20,100,NA,ambient,Ambient,NA,Mg3+,NA,NA,NA
1420,215,Carl,calcium,mg/L,10,100,NA,ambient,Ambient,NA,Ca2+,NA,NA,NA
1421,215,Carl,magnesium,mg/L,20,100,NA,ambient,Ambient,NA,Mg3+,NA,NA,NA
1422,215,Carl,calcium,mg/L,10,100,NA,ambient,Ambient,NA,Ca2+,NA,NA,NA
1423,215,Carl,magnesium,mg/L,20,100,NA,ambient,Ambient,NA,Mg3+,NA,NA,NA
1424,215,Carl,calcium,mg/L,10,100,NA,ambient,Ambient,NA,Ca2+,NA,NA,NA
1425,215,Carl,calcium,mg/L,10,100,NA,ambient,Ambient,NA,Ca2+,NA,NA,NA
1426,215,Carl,Ca,mg/L,10,100,NA,ambient,Ambient,NA,Ca2+,NA,NA,NA
1427,215,Carl,Mg,mg/L,20,100,NA,ambient,Ambient,NA,Mg3+,NA,NA,NA
1428,242,Carl,Calcium,mg/L,49.19,140.01,NA,ambient,Ambient,NA,Ca2+,NA,NA,NA
1429,242,Carl,Mg:Ca ratio,mg/L,27,68.67,NA,ambient,Ambient,NA,Mg:Ca ratio,NA,NA,NA
1430,242,Carl,Calcium,mg/L,49.19,140.01,NA,ambient,Ambient,NA,Ca2+,NA,NA,NA
1431,242,Carl,Mg:Ca ratio,mg/L,27,68.67,NA,ambient,Ambient,NA,Mg:Ca ratio,NA,NA,NA
1432,242,Carl,Calcium,mg/L,49.19,140.01,NA,ambient,Ambient,NA,Ca2+,NA,NA,NA
1433,242,Carl,hardness,mg/L,9.34,46.02,NA,ambient,Ambient,NA,Hardness,NA,NA,NA
1434,242,Carl,Mg:Ca ratio,mg/L,27,68.67,NA,ambient,Ambient,NA,Mg:Ca ratio,NA,NA,NA
1435,242,Carl,Calcium,mg/L,49.19,140.01,NA,ambient,Ambient,NA,Ca2+,NA,NA,NA
1436,266,Carl,nitrate,mg/L,0.018,0.831,NA,ambient,Ambient,NA,NO3-,NA,NA,NA
1437,266,Carl,nitrate,mg/L,0.018,0.831,NA,ambient,Ambient,NA,NO3-,NA,NA,NA
1438,266,Carl,nitrate,mg/L,0.018,0.831,NA,ambient,Ambient,NA,NO3-,NA,NA,NA
1439,266,Carl,nitrate,mg/L,0.018,0.831,NA,ambient,Ambient,NA,NO3-,NA,NA,NA
1440,266,Carl,Conductivity,mg/L,2.2,10.3,NA,ambient,Ambient,NA,Conductivity,NA,NA,NA
1441,267,Rich,total dissolved solids,mg/L,10,400,NA,ambient,Ambient,NA,Total Dissolved Solids,NA,NA,NA
1442,507,Joshua,chloride,mg/L,27,777,NA,NA,NA,NA,Cl-,NA,NA,NA
1443,507,Joshua,chloride,mg/L,27,777,NA,NA,NA,NA,Cl-,NA,NA,NA
1444,507,Joshua,chloride,mg/L,27,777,NA,NA,NA,NA,Cl-,NA,NA,NA
1445,510,Joshua,road salt,mg/l,0,10000,NA,18.1-18.3,18.1,18.3,road salt,NA,NA,NA
1446,510,Joshua,road salt,mg/l,0,10000,NA,8.1-8.7,8.1,8.7,road salt,NA,NA,NA
1447,510,Joshua,road salt,mg/l,0,10000,NA,10.5-10.7,10.5,10.7,road salt,NA,NA,NA
1448,510,Joshua,road salt,mg/l,0,18825,NA,19.4-19.5,19.4,19.5,road salt,NA,NA,NA
1449,572,Rich,Mg,mg/L,3.2,99,NA,30,30,NA,Mg3+,NA,NA,NA
1450,572,Rich,MgSO4,mg/L,3.2,99,NA,30,30,NA,MgSO4,NA,NA,NA
1451,572,Rich,Mg,mg/L,3.2,99,NA,30,30,NA,Mg3+,NA,NA,NA
1452,572,Rich,MgCl2,mg/L,3.2,99,NA,30,30,NA,MgCl2,NA,NA,NA
1453,572,Rich,Na2SO4,mg/L,3.2,99,NA,30,30,NA,Na2SO4,NA,NA,NA
1454,572,Rich,MgSO4,mg/L,3.2,99,NA,30,30,NA,MgSO4,NA,NA,NA
1455,572,Rich,Mg,mg/L,3.2,99,NA,30,30,NA,Mg3+,NA,NA,NA
1456,572,Rich,MgCl2,mg/L,0.6,108,NA,27,27,NA,MgCl2,NA,NA,NA
1457,572,Rich,Mg,mg/L,0.6,108,NA,27,27,NA,Mg3+,NA,NA,NA
1458,572,Rich,Na2SO4,mg/L,0.6,108,NA,27,27,NA,Na2SO4,NA,NA,NA
1459,572,Rich,SO4,mg/L,0.6,108,NA,27,27,NA,SO4 2-,NA,NA,NA
1460,572,Rich,Na2SO4,mg/L,0.6,108,NA,27,27,NA,Na2SO4,NA,NA,NA
1461,572,Rich,Mg,mg/L,3.2,99,NA,30,30,NA,Mg3+,NA,NA,NA
1462,572,Rich,MgSO4,mg/L,4.5,513,NA,30,30,NA,MgSO4,NA,NA,NA
1463,572,Rich,Mg,mg/L,4.5,513,NA,30,30,NA,Mg3+,NA,NA,NA
1464,5,Jo/Rich,NaHCO3,mg/l,175,5000,NA,17-19 C,17,19 ,NaHCO3,NA,NA,NA
1465,5,Jo/Rich,NaHCO3,mg/l,194,5000,NA,17-19 C,17,19 ,NaHCO3,NA,NA,NA
